Location_ID,Location_Name_PT,ISO_3166_1,Country_Region_PT,Adm1_Name_PT,Adm2_Name_PT,Timezone,Latitude,Longitude
B9C91,Itapemirim,BR,Brazil,Espírito Santo,Itapemirim,America/Sao_Paulo,-21.01083,-40.83389
61F51,São Gotardo,BR,Brazil,Minas Gerais,São Gotardo,America/Sao_Paulo,-19.31300,-46.05300
959DE,Torres,BR,Brazil,Rio Grande do Sul,Torres,America/Sao_Paulo,-29.33500,-49.72694
45659,Águas Belas,BR,Brazil,Pernambuco,Águas Belas,America/Recife,-9.11667,-37.11667
D5709,São Lourenço do Sul,BR,Brazil,Rio Grande do Sul,São Lourenço do Sul,America/Sao_Paulo,-31.36500,-51.97778
62C50,Porto de Moz,BR,Brazil,Pará,Porto de Moz,America/Belem,-1.74778,-52.23778
301D1,Nossa Senhora da Glória,BR,Brazil,Sergipe,Nossa Senhora da Glória,America/Maceio,-10.21778,-37.42000
74BAC,Garça,BR,Brazil,São Paulo,Garça,America/Sao_Paulo,-22.21100,-49.65700
8E3FB,São Sebastião do Passé,BR,Brazil,Bahia,São Sebastião do Passé,America/Bahia,-12.51278,-38.49500
A27FF,Santa Helena,BR,Brazil,Maranhão,Santa Helena,America/Fortaleza,-2.23111,-45.30000
47D55,Coelho Neto,BR,Brazil,Maranhão,Coelho Neto,America/Fortaleza,-4.25695,-43.01278
3C50D,Ipu,BR,Brazil,Ceará,Ipu,America/Fortaleza,-4.32194,-40.71084
F3E3C,Currais Novos,BR,Brazil,Rio Grande do Norte,Currais Novos,America/Fortaleza,-6.26083,-36.51500
99725,Paranaíba,BR,Brazil,Mato Grosso do Sul,Paranaíba,America/Campo_Grande,-19.67695,-51.19083
A39F5,Remanso,BR,Brazil,Bahia,Remanso,America/Bahia,-9.62194,-42.08083
2D5FE,Santa Maria da Boa Vista,BR,Brazil,Pernambuco,Santa Maria da Boa Vista,America/Recife,-8.80889,-39.82500
78F75,São Mateus do Sul,BR,Brazil,Paraná,São Mateus do Sul,America/Sao_Paulo,-25.87389,-50.38278
2D5D3,Mangaratiba,BR,Brazil,Rio de Janeiro,Mangaratiba,America/Sao_Paulo,-22.96000,-44.04083
5E5FE,Sena Madureira,BR,Brazil,Acre,Sena Madureira,America/Rio_Branco,-9.06583,-68.65694
F04B0,Pacajá,BR,Brazil,Pará,Pacajá,America/Belem,-3.83778,-50.63778
9C7D7,Toritama,BR,Brazil,Pernambuco,Toritama,America/Recife,-8.00667,-36.05667
8E51E,Barreiros,BR,Brazil,Pernambuco,Barreiros,America/Recife,-8.81667,-35.20000
E9364,Lajedo,BR,Brazil,Pernambuco,Lajedo,America/Recife,-8.66389,-36.32000
DDA30,Colinas,BR,Brazil,Maranhão,Colinas,America/Fortaleza,-6.02583,-44.24889
41066,Santa Quitéria,BR,Brazil,Ceará,Santa Quitéria,America/Fortaleza,-4.33194,-40.15694
5BB2B,Capelinha,BR,Brazil,Minas Gerais,Capelinha,America/Sao_Paulo,-17.69139,-42.51583
91F5,Gramado,BR,Brazil,Rio Grande do Sul,Gramado,America/Sao_Paulo,-29.37889,-50.87389
A01AC,Itabaianinha,BR,Brazil,Sergipe,Itabaianinha,America/Maceio,-11.27389,-37.79000
231E5,Paraguaçu Paulista,BR,Brazil,São Paulo,Paraguaçu Paulista,America/Sao_Paulo,-22.41800,-50.57500
DA750,Santa Rita do Sapucaí,BR,Brazil,Minas Gerais,Santa Rita do Sapucaí,America/Sao_Paulo,-22.25300,-45.70400
E2EDA,Andradas,BR,Brazil,Minas Gerais,Andradas,America/Sao_Paulo,-22.06806,-46.56917
30191,Almenara,BR,Brazil,Minas Gerais,Almenara,America/Sao_Paulo,-16.18361,-40.69444
165ED,Zé Doca,BR,Brazil,Maranhão,Zé Doca,America/Fortaleza,-3.24278,-45.82389
F0784,Armação dos Búzios,BR,Brazil,Rio de Janeiro,Armação dos Búzios,America/Sao_Paulo,-22.74694,-41.88194
E2894,Nova Viçosa,BR,Brazil,Bahia,Nova Viçosa,America/Bahia,-17.89195,-39.37194
D488D,Ipiaú,BR,Brazil,Bahia,Ipiaú,America/Bahia,-14.13695,-39.73389
5614B,Tucumã,BR,Brazil,Pará,Tucumã,America/Belem,-6.75194,-51.15390
DB01F,Pedra Branca,BR,Brazil,Ceará,Pedra Branca,America/Fortaleza,-5.45500,-39.71400
6116E,Afogados da Ingazeira,BR,Brazil,Pernambuco,Afogados da Ingazeira,America/Recife,-7.75083,-37.63417
3A4D8,São Gonçalo dos Campos,BR,Brazil,Bahia,São Gonçalo dos Campos,America/Bahia,-12.43278,-38.96695
4F17C,Curitibanos,BR,Brazil,Santa Catarina,Curitibanos,America/Sao_Paulo,-27.28278,-50.58389
AACAF,Amambai,BR,Brazil,Mato Grosso do Sul,Amambai,America/Campo_Grande,-23.10100,-55.24400
7A768,Paracuru,BR,Brazil,Ceará,Paracuru,America/Fortaleza,-3.41000,-39.03083
7CFEE,Matinhos,BR,Brazil,Paraná,Matinhos,America/Sao_Paulo,-25.81778,-48.54278
52295,São Fidélis,BR,Brazil,Rio de Janeiro,São Fidélis,America/Sao_Paulo,-21.64583,-41.74694
4996D,Socorro,BR,Brazil,São Paulo,Socorro,America/Sao_Paulo,-22.59139,-46.52889
527F7,Jacarezinho,BR,Brazil,Paraná,Jacarezinho,America/Sao_Paulo,-23.16056,-49.96944
70FB5,Eldorado do Sul,BR,Brazil,Rio Grande do Sul,Eldorado do Sul,America/Sao_Paulo,-30.08389,-51.61583
88BA7,São Raimundo Nonato,BR,Brazil,Piauí,São Raimundo Nonato,America/Fortaleza,-9.01500,-42.69889
2AB91,Brumadinho,BR,Brazil,Minas Gerais,Brumadinho,America/Sao_Paulo,-20.14333,-44.19972
ACB3C,Vargem Grande do Sul,BR,Brazil,São Paulo,Vargem Grande do Sul,America/Sao_Paulo,-21.83222,-46.89361
4EDF6,Várzea Alegre,BR,Brazil,Ceará,Várzea Alegre,America/Fortaleza,-6.79200,-39.29900
9367E,Itápolis,BR,Brazil,São Paulo,Itápolis,America/Sao_Paulo,-21.59500,-48.81300
23730,Visconde do Rio Branco,BR,Brazil,Minas Gerais,Visconde do Rio Branco,America/Sao_Paulo,-21.01028,-42.84056
619AD,Oliveira,BR,Brazil,Minas Gerais,Oliveira,America/Sao_Paulo,-20.69639,-44.82722
93D2A,Benjamin Constant,BR,Brazil,Amazonas,Benjamin Constant,America/Eirunepe,-4.38278,-70.03083
4F2E3,São Francisco do Conde,BR,Brazil,Bahia,São Francisco do Conde,America/Bahia,-12.63000,-38.67600
5CDE6,Santa Maria da Vitória,BR,Brazil,Bahia,Santa Maria da Vitória,America/Bahia,-13.39778,-44.19778
84FE7,Guaíra,BR,Brazil,São Paulo,Guaíra,America/Sao_Paulo,-20.32000,-48.31400
60140,Araioses,BR,Brazil,Maranhão,Araioses,America/Fortaleza,-2.89000,-41.90278
7901B,Ouro Branco,BR,Brazil,Minas Gerais,Ouro Branco,America/Sao_Paulo,-20.52083,-43.69194
CB4CA,Presidente Epitácio,BR,Brazil,São Paulo,Presidente Epitácio,America/Sao_Paulo,-21.76900,-52.11500
5B79F,Rio Negrinho,BR,Brazil,Santa Catarina,Rio Negrinho,America/Sao_Paulo,-26.25389,-49.51778
F3E85,Afuá,BR,Brazil,Pará,Afuá,America/Belem,-0.15694,-50.38694
AF9C7,São Mateus do Maranhão,BR,Brazil,Maranhão,São Mateus do Maranhão,America/Fortaleza,-4.04000,-44.47000
1BDBD,Iturama,BR,Brazil,Minas Gerais,Iturama,America/Sao_Paulo,-19.72806,-50.19556
7B863,Sento Sé,BR,Brazil,Bahia,Sento Sé,America/Bahia,-9.74583,-41.88500
7CAF2,Caeté,BR,Brazil,Minas Gerais,Caeté,America/Sao_Paulo,-19.88700,-43.66500
9CCD2,Cansanção,BR,Brazil,Bahia,Cansanção,America/Bahia,-10.67083,-39.49778
54E84,Jarinu,BR,Brazil,São Paulo,Jarinu,America/Sao_Paulo,-23.10139,-46.72833
F0DF4,Santaluz,BR,Brazil,Bahia,Santaluz,America/Bahia,-11.25583,-39.37500
15E1E,Ulianópolis,BR,Brazil,Pará,Ulianópolis,America/Belem,-3.75583,-47.50083
8D48B,Sarzedo,BR,Brazil,Minas Gerais,Sarzedo,America/Sao_Paulo,-20.03528,-44.14472
CBB01,Mucuri,BR,Brazil,Bahia,Mucuri,America/Bahia,-18.08583,-39.55084
60CD4,Novo Horizonte,BR,Brazil,São Paulo,Novo Horizonte,America/Sao_Paulo,-21.46806,-49.22083
4D498,Jeremoabo,BR,Brazil,Bahia,Jeremoabo,America/Bahia,-10.06200,-38.35200
237DA,Custódia,BR,Brazil,Pernambuco,Custódia,America/Recife,-8.08900,-37.64100
A3C4C,Rio Brilhante,BR,Brazil,Mato Grosso do Sul,Rio Brilhante,America/Campo_Grande,-21.80195,-54.54583
49F5D,Pentecoste,BR,Brazil,Ceará,Pentecoste,America/Fortaleza,-3.79278,-39.27028
